contract,split,word_count,character_count
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,train,1849,12260
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",validation,188,1194
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,train,5339,32502
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,test,10095,67111
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT",train,8147,58860
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT,train,7708,49915
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,train,33948,225094
"Antares Pharma, Inc. - Manufacturing Agreement",train,16365,106786
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement,train,5415,34461
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,train,2381,15202
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,train,4115,26346
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,train,7251,47889
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,train,6030,39622
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,train,9252,57041
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement,train,4102,26753
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT,train,15095,94266
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT,train,2955,19257
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,train,16157,116873
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,validation,12142,79052
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,validation,682,4066
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,train,7663,48612
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,train,34155,233248
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2,train,4870,32093
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR",test,973,8113
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment,train,2848,21994
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT",train,7145,45846
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,train,3885,27714
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT,train,5558,49518
NUVEEN - REMARKETING AGREEMENT,train,11298,70631
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,train,2828,18069
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,train,1538,9700
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,train,5299,37683
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,train,2320,14979
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,test,7965,52008
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,train,4627,30309
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,train,5066,32321
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,train,970,6320
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT,train,9916,70664
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement",test,3194,20133
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,train,302,2010
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,validation,2901,23999
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT,train,2765,27015
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",train,5813,37876
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,validation,25298,167973
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),train,17975,148691
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement",train,1217,8288
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,train,2588,24151
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,test,2500,18138
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,train,4301,28331
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement,train,805,5171
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",train,28275,188674
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT,train,2175,13995
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT,train,5760,37103
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,train,387,2819
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",validation,2851,18240
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,validation,2044,13330
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,validation,8601,57254
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,validation,1072,6840
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT,train,4448,27721
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,test,5852,37796
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules,train,3435,33577
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,train,6178,40519
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT",test,7265,45484
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement,train,38518,249551
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,train,16673,109014
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT,train,10705,78033
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement,test,916,6088
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT,train,1836,11322
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3,train,251,1707
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,train,13349,89484
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT",train,8879,57646
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,validation,10292,70444
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,train,2622,16773
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,test,34973,228943
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT",train,3604,23895
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,test,6122,39588
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT,train,35339,229670
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",validation,506,3493
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION,train,6318,40597
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement,train,2026,13506
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT,train,6004,37211
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,test,7187,45234
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement,test,435,2935
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT,validation,5346,33425
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement,train,18871,122688
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,validation,11330,70625
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,train,9243,60982
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,train,10256,65651
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,validation,12904,84384
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,train,25087,165322
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT",train,6029,41501
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,train,2843,18104
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,validation,2892,19351
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,train,1666,14171
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,train,2356,15298
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,train,1762,11043
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,validation,5780,39727
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,train,33705,249359
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement,train,2306,14764
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,train,2351,15540
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,test,3740,26115
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,train,2709,17300
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,test,6920,44702
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement",train,11308,73598
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",test,903,5713
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement,train,10661,68204
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,validation,14158,117803
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,train,25333,163199
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,train,5880,50835
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,train,2438,16153
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,validation,12396,82889
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement,test,10213,66253
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,validation,45650,291873
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT,train,8033,52252
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2",test,1185,7600
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,train,9075,64192
WESTERN COPPER - NON-COMPETITION AGREEMENT,train,2626,16402
LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT,train,3207,20380
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement",train,10901,73685
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,train,756,5327
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,test,17487,112361
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,train,1169,8321
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement",train,45577,335282
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",validation,5973,37970
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",validation,16565,112447
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT",test,15468,95181
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,train,4580,30050
"Sonos, Inc. - Manufacturing Agreement ",train,17177,109219
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",test,3589,24999
"VAPOTHERM, INC. - Manufacturing and Supply Agreement",train,11847,75632
PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun),train,3543,22259
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,validation,3023,19386
"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT",test,875,5712
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT,train,5290,37682
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,test,23663,154495
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement,train,17207,112910
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT",test,4177,25450
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT,train,201,1283
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,train,5202,32826
"SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT",validation,2842,17710
WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,train,4602,29724
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement,train,2899,25619
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT,train,109,645
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT,train,13201,85963
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement,train,2664,16509
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1",train,4014,26108
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement,train,13370,98907
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT,train,5607,36019
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT,train,8499,53764
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,train,5582,43179
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT,train,429,2732
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement,train,26626,175770
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement,train,8078,55296
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT,train,742,5030
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,test,3292,20693
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,train,2316,15318
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,validation,940,6390
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT",train,1796,14193
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,validation,18806,161066
Apollo Endosurgery - Manufacturing and Supply Agreement,train,7248,48253
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT",train,3709,23582
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business,train,12072,76425
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",validation,1449,8852
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement,train,3908,25060
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT",train,23061,146992
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement,train,2804,18562
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT",train,944,5879
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT,train,8966,57631
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT,train,2865,19171
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,train,15880,105662
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT",train,5294,32861
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement,test,4466,29629
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT,train,6760,49218
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT,train,11008,73698
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT,train,2274,14592
"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT",validation,555,4567
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,train,7749,51043
"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT",train,15227,99696
"OTISWORLDWIDECORP_04_03_2020-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT by and among UNITED TECHNOLOGIES CORPORATION, OTIS WORLDWIDE CORPORATION and CARRIER ~1",train,9672,62196
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",train,3430,22359
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement,train,24685,159187
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,test,3488,22700
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement,train,5899,39596
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement,train,8649,55075
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,train,2236,14313
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,test,17414,116298
