contract,category,gold_present,predicted_present,strict_prediction,json_valid,schema_valid,grounded_evidence,evidence_f1,latency_seconds
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Audit Rights,False,False,False,True,True,,,1.0953
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0962
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,Cap On Liability,True,False,False,True,True,,0.0,1.09
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Renewal Term,False,False,False,True,True,,,1.1173
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.1013
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Exclusivity,False,False,False,True,True,,,1.1246
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Termination For Convenience,True,False,False,True,True,,0.0,1.114
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Change Of Control,True,False,False,True,True,,0.0,1.1114
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Audit Rights,False,False,False,True,True,,,1.1103
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Uncapped Liability,False,False,False,True,True,,,1.1126
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,Cap On Liability,True,True,True,True,True,True,1.0,6.9357
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Renewal Term,False,False,False,True,True,,,1.0456
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0563
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Exclusivity,False,False,False,True,True,,,1.0809
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Termination For Convenience,False,False,False,True,True,,,1.0446
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Change Of Control,False,False,False,True,True,,,1.0726
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Audit Rights,False,False,False,True,True,,,1.0551
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Uncapped Liability,False,False,False,True,True,,,1.0734
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,Cap On Liability,False,False,False,True,True,,,1.0689
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Renewal Term,False,False,False,True,True,,,1.1022
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.1097
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Exclusivity,True,False,False,True,True,,0.0,1.1108
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Termination For Convenience,False,False,False,True,True,,,1.1046
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Change Of Control,False,False,False,True,True,,,1.1123
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Audit Rights,False,False,False,True,True,,,1.1069
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.1094
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,Cap On Liability,False,False,False,True,True,,,1.1025
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Renewal Term,False,False,False,True,True,,,1.1004
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0843
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Exclusivity,False,False,False,True,True,,,1.1022
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Termination For Convenience,False,False,False,True,True,,,1.0982
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Change Of Control,False,False,False,True,True,,,1.0989
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Audit Rights,False,False,False,True,True,,,1.0981
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Uncapped Liability,False,False,False,True,True,,,1.1013
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",Cap On Liability,False,False,False,True,True,,,1.0994
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Renewal Term,False,False,False,True,True,,,1.0801
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0822
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Exclusivity,False,False,False,True,True,,,1.104
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Termination For Convenience,False,False,False,True,True,,,1.0775
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Change Of Control,False,False,False,True,True,,,1.1002
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Audit Rights,True,False,False,True,True,,0.0,1.0828
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Uncapped Liability,False,False,False,True,True,,,1.0946
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Cap On Liability,False,False,False,True,True,,,1.0949
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Renewal Term,False,False,False,True,True,,,1.1074
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.1052
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Exclusivity,True,False,False,True,True,,0.0,1.148
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Termination For Convenience,False,False,False,True,True,,,1.1103
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Change Of Control,True,True,True,True,True,True,1.0,8.7424
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Audit Rights,False,False,False,True,True,,,1.1029
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.1131
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,Cap On Liability,True,False,False,True,True,,0.0,1.0795
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Renewal Term,False,False,False,True,True,,,1.0911
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0853
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Exclusivity,False,False,False,True,True,,,1.1105
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Termination For Convenience,False,False,False,True,True,,,1.0924
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Change Of Control,False,False,False,True,True,,,1.1112
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Audit Rights,False,False,False,True,True,,,1.0947
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0931
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,Cap On Liability,False,False,False,True,True,,,1.097
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Renewal Term,True,False,False,True,True,,0.0,1.0849
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Notice Period To Terminate Renewal,True,False,False,True,True,,0.0,1.0535
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Exclusivity,False,False,False,True,True,,,1.0777
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Termination For Convenience,True,True,True,True,True,True,0.625,4.6744
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Change Of Control,False,False,False,True,True,,,1.0782
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Audit Rights,True,True,True,True,True,True,1.0,4.312
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0801
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,Cap On Liability,True,True,True,True,True,True,0.9419354838709678,6.767
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Renewal Term,False,False,False,True,True,,,1.0773
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0846
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Exclusivity,False,False,False,True,True,,,1.0947
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Termination For Convenience,False,False,False,True,True,,,1.0877
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Change Of Control,False,False,False,True,True,,,1.0887
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Audit Rights,True,False,False,True,True,,0.0,1.091
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0933
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,Cap On Liability,False,False,False,True,True,,,1.0893
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Renewal Term,False,False,False,True,True,,,1.0784
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0853
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Exclusivity,False,False,False,True,True,,,1.0908
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Termination For Convenience,True,False,False,True,True,,0.0,1.0773
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Change Of Control,False,False,False,True,True,,,1.0856
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Audit Rights,False,False,False,True,True,,,1.0863
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0847
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,Cap On Liability,True,False,False,True,True,,0.0,1.0845
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Renewal Term,False,False,False,True,True,,,0.8185
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Notice Period To Terminate Renewal,False,False,False,True,True,,,0.8286
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Exclusivity,False,False,False,True,True,,,0.8335
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Termination For Convenience,False,False,False,True,True,,,0.8122
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Change Of Control,False,False,False,True,True,,,0.8179
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Audit Rights,False,False,False,True,True,,,0.8172
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Uncapped Liability,False,False,False,True,True,,,0.8119
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",Cap On Liability,False,False,False,True,True,,,0.816
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Renewal Term,False,False,False,True,True,,,1.0468
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0583
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Exclusivity,True,True,True,True,True,True,0.31168831168831174,3.0632
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Termination For Convenience,True,True,True,True,True,True,1.0,3.3979
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Change Of Control,True,True,True,True,True,True,1.0,3.9339
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Audit Rights,False,False,False,True,True,,,1.046
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Uncapped Liability,True,False,False,True,True,,0.0,1.0836
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,Cap On Liability,True,True,True,True,True,True,1.0,6.7531
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Renewal Term,False,False,False,True,True,,,1.0011
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0104
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Exclusivity,False,False,False,True,True,,,1.0149
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Termination For Convenience,False,False,False,True,True,,,1.0118
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Change Of Control,False,False,False,True,True,,,1.009
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Audit Rights,False,False,False,True,True,,,1.012
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0164
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,Cap On Liability,False,False,False,True,True,,,1.0154
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Renewal Term,True,False,False,True,True,,0.0,1.0447
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Notice Period To Terminate Renewal,True,False,False,True,True,,0.0,1.0408
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Exclusivity,True,False,False,True,True,,0.0,1.1175
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Termination For Convenience,False,False,False,True,True,,,1.0497
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Change Of Control,False,False,False,True,True,,,1.0574
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Audit Rights,False,False,False,True,True,,,1.0493
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0487
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,Cap On Liability,False,False,False,True,True,,,1.0467
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Renewal Term,False,False,False,True,True,,,1.2164
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.4511
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Exclusivity,True,True,True,True,True,True,0.8217821782178217,7.8512
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Termination For Convenience,True,True,True,True,True,True,1.0,2.9679
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Change Of Control,False,False,False,True,True,,,1.2113
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Audit Rights,True,,False,False,False,,0.0,9.4467
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Uncapped Liability,True,False,False,True,True,,0.0,1.1011
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,Cap On Liability,True,True,True,True,True,True,0.9647058823529412,4.3175
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Renewal Term,False,False,False,True,True,,,1.1132
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Notice Period To Terminate Renewal,False,False,False,True,True,,,1.1171
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Exclusivity,False,False,False,True,True,,,1.1558
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Termination For Convenience,False,False,False,True,True,,,1.1149
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Change Of Control,False,False,False,True,True,,,1.1203
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Audit Rights,False,False,False,True,True,,,1.1186
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Uncapped Liability,False,False,False,True,True,,,1.1194
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement",Cap On Liability,False,False,False,True,True,,,1.1143
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Renewal Term,False,False,False,True,True,,,1.0883
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.088
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Exclusivity,False,False,False,True,True,,,1.1168
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Termination For Convenience,True,False,False,True,True,,0.0,1.0955
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Change Of Control,False,False,False,True,True,,,1.1059
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Audit Rights,True,True,True,True,True,True,1.0,3.0818
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Uncapped Liability,False,False,False,True,True,,,1.0874
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,Cap On Liability,True,True,True,True,True,True,0.24242424242424243,3.762
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Renewal Term,False,False,False,True,True,,,1.0636
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0803
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Exclusivity,False,False,False,True,True,,,1.1111
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Termination For Convenience,True,False,False,True,True,,0.0,1.0876
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Change Of Control,False,False,False,True,True,,,1.0903
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Audit Rights,True,True,True,True,True,True,0.8571428571428571,3.9765
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0869
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT,Cap On Liability,True,True,True,True,True,True,0.7123287671232876,7.066
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Renewal Term,False,False,False,True,True,,,1.0718
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0803
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Exclusivity,False,False,False,True,True,,,1.0813
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Termination For Convenience,True,False,False,True,True,,0.0,1.0814
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Change Of Control,False,False,False,True,True,,,1.0914
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Audit Rights,False,False,False,True,True,,,1.0766
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Uncapped Liability,False,False,False,True,True,,,1.0847
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,Cap On Liability,False,False,False,True,True,,,1.0796
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Renewal Term,False,False,False,True,True,,,1.0838
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Notice Period To Terminate Renewal,False,False,False,True,True,,,1.0789
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Exclusivity,True,True,True,True,True,True,1.0,4.2892
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Termination For Convenience,False,False,False,True,True,,,1.071
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Change Of Control,False,False,False,True,True,,,1.0906
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Audit Rights,True,False,False,True,True,,0.0,1.0787
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Uncapped Liability,False,False,False,True,True,,,1.0837
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,Cap On Liability,True,False,False,True,True,,0.0,1.0897
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Renewal Term,False,False,False,True,True,,,0.9589
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Notice Period To Terminate Renewal,False,False,False,True,True,,,0.9599
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Exclusivity,False,False,False,True,True,,,0.964
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Termination For Convenience,False,False,False,True,True,,,0.953
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Change Of Control,False,False,False,True,True,,,0.9563
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Audit Rights,False,False,False,True,True,,,0.9526
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Uncapped Liability,False,False,False,True,True,,,0.9546
